NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;
BAR-05-02-01/21;0127027;VIENA SANT CUGAT DEL VALLES;1;CAMPANA PARED 5 m;Nß01095324 F.27/9/16; 1-MAY-27;LIQUIDO AZUL HE; 1-MAY-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/21;0127027;VIENA SANT CUGAT DEL VALLES;2;CAMPANA FREIDORAS;2006; 1-MAY-27;LIQUIDO AZUL HE; 1-ABR-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/22;0127028;VIENA MONTCADA I REIXAC;1;CAMPANA CENTRAL 5,80 m;nß01162824 f.6/4/17; 1-NOV-27;liquido azul he; 1-SEP-17;
;;;;;nß01172423 f.22/6/17; 1-NOV-27;liquido azul he; 1-SEP-17;
;;;;;;         ;;         ;
BAR-05-02-01/23;0127029;VIENA XALET SALT;1;CAMPANA PARED 5 m;2017; 1-SEP-27;liquido azul; 1-SEP-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/23;0127029;VIENA XALET SALT;2;CAMPANA PARED 2,3 m;2007; 1-SEP-27;liquido azul he; 1-SEP-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/24;0127004;VIENA PELAYO;1;CAMPANA PARED 5 m;3188(25); 1-SEP-27;liquido azul he; 1-SEP-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/25;0127030;VIENA BLANES;1;CAMPANA CENTRAL 7 m;020324;10-JUN-29;L7053+L7050; 1-JUN-19;
;;;;;020328;10-JUN-29;L7053+L7050; 1-JUN-19;
;;;;;;         ;;         ;
BAR-05-02-01/26;0127031;VIENA MONTMELO;1;CAMPANA CENTRAL 7 m;03188-08-15/05/07; 1-OCT-28;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;03188-26*15/05/07; 1-OCT-28;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;;         ;;         ;
BAR-05-02-01/27;0127033;VIENA TORTOSA;1;CAMPANA CENTRAL;0217524; 1-AGO-28;LIQUIDO AZUL HE; 1-NOV-20;
;;;;;; 1-AGO-28;LIQUIDO AZUL HE; 1-NOV-20;
;;;;;;         ;;         ;
BAR-05-02-01/28;0127034;VIENA VIC;1;CAMPANA CENTRAL;030363**20/05/08; 1-DIC-29;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;03036780; 1-DIC-29;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;;         ;;         ;
BAR-05-02-01/29;0127035;VIENA LA MAQUINISTA;1;CAMPANA CENTRAL;09105-47    22/12/08; 1-SEP-19;L-8126; 1-DIC-08;
;;;;;09105-21    22/12/08; 1-SEP-19;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/30;0127036;VIENA L'ANEC BLAU;1;CAMPANA CENTRAL;1218525     25/03/09; 1-NOV-19;L-8039; 1-FEB-08;
;;;;;121851      25/03/09; 1-NOV-19;L-9010; 1-ENE-09;
;;;;;;         ;;         ;
BAR-05-02-01/31;0127037;VIENA REUS TECNOPARC  "RIERA DE MOLINET";1;CAMPANA;12185-1 FEC. 25/3/09; 1-NOV-30;LIQUIDO AZUL HE; 1-OCT-20;
;;;;;12185-28 FEC.25/3/09; 1-NOV-30;LIQUIDO AZUL HE; 1-OCT-20;
;;;;;;         ;;         ;
BAR-05-02-01/32;0127038;VIENA SPLAU;1;CAMPANA CENTRAL;2010; 1-NOV-30;LIQUIDO AZUL HE; 1-OCT-20;
;;;;;2010; 1-NOV-30;LIQUIDO AZUL HE; 1-OCT-20;
;;;;;;         ;;         ;
BAR-05-02-01/33;0127039;VIENA DIAGONAL MAR;1;CAMPANA CENTRAL;0709771 FEC.20/10/09;15-AGO-30;LIQUIDO AZUL HE; 1-AGO-21;
;;;;;1218529 FEC.25/03/09;15-AGO-30;LIQUIDO AZUL HE; 1-AGO-21;
;;;;;;         ;;         ;
BAR-05-02-01/34;0127040;VIENA XALET SANT CUGAT;1;CAMPANA CENTRAL 7 m;121898 fe. 31/5/10; 1-AGO-31;LIQUIDO NUEVO HE; 1-AGO-21;
;;;;;2189-18 FE.31/5/10; 1-AGO-31;LIQUIDO NUEVO HE; 1-AGO-21;
;;;;;;         ;;         ;
BAR-05-02-01/35;0127041;VIENA C.C. PLAZA - ZARAGOZA (cerrado);1;CAMPANA CENTRAL 6,50 m;02175-26; 1-NOV-21;LIQUIDO APC - SF/600; 1-ABR-11;
;;;;;0910716 FE. 19/2/09; 1-NOV-21;LIQUIDO APC - SF/260; 1-ABR-11;
;;;;;;         ;;         ;
BAR-05-02-01/36;0127042;VIENA VIA SABADELL;1;CAMPANA CENTRAL 6,40 m;; 1-SEP-22;APC;         ;
;;;;;; 1-SEP-22;APC;         ;
;;;;;;         ;;         ;
BAR-05-02-01/37;0127043;VIENA GLORIAS;1;CAMPANA PARED 5 m;nß00808815 fe.3/7/12; 1-OCT-22;APC; 1-ABR-12;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
