NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3765;RESTAURANTE GALICIA;1;CAMPANA PARED                 ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;FREIDORA                      ;L230 ;2;2;4
;;;;;PARED  ;COCINA 6 FUEGOS               ;L1F  ;1;1;1
;;;;;PARED  ;COCINA 6 FUEGOS               ;L245 ;1;2;2
;;;;;PARED  ;PLANCHA CROMO/FRY TOP         ;L1N  ;1;1;1
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;638002;HOTEL TRYP REY PELAYO;3;CONDUCTO;OTROS  ;CONDUCTO EXTRACCI‡N           ;ADP  ;4;1;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;685035;BK 14388 AEROPUERTO DE IBIZA;2;CAMPANA BROILER;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L245 ;2;2;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3154;HOTEL BARCELO - OVIEDO;2;CAMPANA ESPECIAL BUFFET;OTROS  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;OTROS  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;OTROS  ;COCINA 2 FUEGOS               ;L1F  ;1;1;1
;;;;;OTROS  ;PLANCHA CROMO/FRY TOP         ;L1N  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;2305;REST. EL REY DE LA GAMBA I;3;SISTEMA DESMONTADO!!!!!!!;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;4620;REST. FEROZ;1;CAMPANA CENTRAL;CENTRAL;CONDUCTO EXTRACCI‡N           ;1100;3;1;3
;;;;;CENTRAL;COLECTOR FILTROS CENTRAL      ;L1N  ;2;1;2
;;;;;CENTRAL;SUPERFICIE                    ;L245 ;3;2;6
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
